"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","9/218","139/28943",1.16220983465207e-06,0.00011657469950184,0.0001012212958967,"Kcnc3/Nat8l/Rims3/Chrm2/Cplx1/Rims2/Prkca/Cacnb4/Syt1",9
"GO:0001508","GO:0001508","action potential","9/218","148/28943",1.96007749852686e-06,0.000188412449545894,0.000163597696477922,"Gjd2/Scn1a/Scn4b/Kcnh2/Dpp6/Cacnb4/Ptpn3/Kcnab2/Fgf12",9
"GO:0007416","GO:0007416","synapse assembly","10/218","194/28943",2.35495378961786e-06,0.000204421359210422,0.000177498161922493,"Cbln4/Gabrb2/Syndig1/Gabra1/Npas4/Reln/Prkca/Gabrg2/Lgi2/Grin1",10
"GO:1903861","GO:1903861","positive regulation of dendrite extension","5/218","29/28943",2.3729381017903e-06,0.000204421359210422,0.000177498161922493,"Syt2/Cpne9/Rnf157/Rims2/Syt1",5
"GO:0045055","GO:0045055","regulated exocytosis","12/218","291/28943",2.39244763705305e-06,0.000204421359210422,0.000177498161922493,"Syt2/Vamp1/Crhr1/Rims3/Cadps2/Chrm2/Cplx1/Rims2/Prkca/Cacnb4/Syt13/Syt1",12
"GO:0043266","GO:0043266","regulation of potassium ion transport","8/218","114/28943",2.52822569540276e-06,0.00020830773854622,0.000180872687907949,"Kcns1/Kcnab3/Kcnip2/Lrrc55/Kcnh2/Dpp6/Kcnc1/Kcnab2",8
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","8/218","117/28943",3.07284883479369e-06,0.000244450422823071,0.000212255220784479,"Tmem108/Gabra1/Tmem25/Npas4/Reln/Rims2/Gabrg2/Grin1",8
"GO:1903859","GO:1903859","regulation of dendrite extension","5/218","31/28943",3.35375623148057e-06,0.000257903854200856,0.000223936775737106,"Syt2/Cpne9/Rnf157/Rims2/Syt1",5
"GO:0017157","GO:0017157","regulation of exocytosis","11/218","254/28943",3.97434359012629e-06,0.00029576808588456,0.000256814120611556,"Syt2/Crhr1/Rims3/Exph5/Cadps2/Chrm2/Rims2/Prkca/Cacnb4/Syt13/Syt1",11
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","8/218","122/28943",4.20157940651307e-06,0.000302907615338302,0.000263013342453762,"Kcnc3/Rims3/Chrm2/Cplx1/Rims2/Prkca/Cacnb4/Syt1",8
"GO:0021543","GO:0021543","pallium development","9/218","167/28943",5.28861365810779e-06,0.000369722173007717,0.000321028127316719,"Tmem108/Reln/Pou3f2/Dlx1/Emx1/Dab1/Dcx/Grin1/Tbr1",9
"GO:0007626","GO:0007626","locomotory behavior","11/218","266/28943",6.16646445778127e-06,0.000418412750120629,0.000363305940035844,"Crhr1/Reln/Scn1a/Cacnb4/Egr1/Atp2b2/Npy1r/Gad1/Fgf12/Dab1/Grin1",11
"GO:1903305","GO:1903305","regulation of regulated secretory pathway","9/218","187/28943",1.31691047728406e-05,0.000868032134598376,0.000753708462638062,"Syt2/Crhr1/Rims3/Chrm2/Rims2/Prkca/Cacnb4/Syt13/Syt1",9
"GO:1904064","GO:1904064","positive regulation of cation transmembrane transport","9/218","191/28943",1.55898654308244e-05,0.000978724840620454,0.000849822449615917,"Kcnip2/Reln/Lrrc55/Kcnh2/Dpp6/Arc/Cacnb4/Kcnc1/Grin1",9
"GO:1901381","GO:1901381","positive regulation of potassium ion transmembrane transport","5/218","42/28943",1.56969306904884e-05,0.000978724840620454,0.000849822449615917,"Kcnip2/Lrrc55/Kcnh2/Dpp6/Kcnc1",5
"GO:0021761","GO:0021761","limbic system development","7/218","107/28943",1.72085151573866e-05,0.000993359043576954,0.000862529263307072,"Tmem108/Reln/Pou3f2/Dlx1/Dab1/Dcx/Tbr1",7
"GO:0031644","GO:0031644","regulation of nervous system process","9/218","194/28943",1.76453272316963e-05,0.000993359043576954,0.000862529263307072,"Tmem108/Cartpt/Dlgap3/Tmem25/Reln/Rims2/Src/Fgf12/Grin1",9
"GO:0050905","GO:0050905","neuromuscular process","9/218","194/28943",1.76453272316963e-05,0.000993359043576954,0.000862529263307072,"Tcap/Scn1a/Nr4a1/Tnnt1/Atp2b2/Nefl/Kcnab2/Fgf12/Grin1",9
"GO:0007616","GO:0007616","long-term memory","5/218","43/28943",1.76539752001106e-05,0.000993359043576954,0.000862529263307072,"Npas4/Reln/Arc/Egr1/Grin1",5
"GO:0017156","GO:0017156","calcium-ion regulated exocytosis","6/218","73/28943",1.90520608980142e-05,0.00102689060186817,0.000891644567040873,"Syt2/Rims3/Cadps2/Rims2/Syt13/Syt1",6
"GO:2001257","GO:2001257","regulation of cation channel activity","9/218","196/28943",1.91401369225537e-05,0.00102689060186817,0.000891644567040873,"Kcns1/Cabp1/Reln/Lrrc55/Arc/Cacnb4/Kcnc1/Rasgrf2/Fgf12",9
"GO:0048791","GO:0048791","calcium ion-regulated exocytosis of neurotransmitter","4/218","22/28943",2.0589339070942e-05,0.00107953648265144,0.000937356752440254,"Syt2/Rims3/Rims2/Syt1",4
"GO:0006887","GO:0006887","exocytosis","13/218","422/28943",2.11438792287111e-05,0.00108397620845859,0.000941211746719,"Syt2/Vamp1/Crhr1/Rims3/Exph5/Cadps2/Chrm2/Cplx1/Rims2/Prkca/Cacnb4/Syt13/Syt1",13
"GO:0021987","GO:0021987","cerebral cortex development","7/218","113/28943",2.45342615327833e-05,0.00123044655122024,0.00106839129741159,"Reln/Pou3f2/Emx1/Dab1/Dcx/Grin1/Tbr1",7
"GO:0031629","GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane","4/218","24/28943",2.95573439903393e-05,0.0014508253741641,0.00125974525450427,"Syt2/Vamp1/Cplx1/Syt1",4
"GO:0048167","GO:0048167","regulation of synaptic plasticity","12/218","378/28943",3.29016864550104e-05,0.00158133730524394,0.0013730681869273,"Crhr1/Npas4/Rims3/Reln/Rims2/Arc/Egr1/Atp2b2/Rasgrf2/Nog/Grin1/Ncdn",12
"GO:0035637","GO:0035637","multicellular organismal signaling","8/218","163/28943",3.48080938453294e-05,0.00161398072940476,0.00140141232772443,"Cartpt/Gjd2/Scn1a/Scn4b/Kcnh2/Dpp6/Cacnb4/Fgf12",8
"GO:0099500","GO:0099500","vesicle fusion to plasma membrane","4/218","25/28943",3.49800764933845e-05,0.00161398072940476,0.00140141232772443,"Syt2/Vamp1/Cplx1/Syt1",4
"GO:0034767","GO:0034767","positive regulation of ion transmembrane transport","9/218","213/28943",3.68003606007034e-05,0.00166467513540829,0.00144543005620513,"Kcnip2/Reln/Lrrc55/Kcnh2/Dpp6/Arc/Cacnb4/Kcnc1/Grin1",9
"GO:2000300","GO:2000300","regulation of synaptic vesicle exocytosis","6/218","84/28943",4.24703515689271e-05,0.00188421348210606,0.00163605423149126,"Rims3/Chrm2/Rims2/Prkca/Cacnb4/Syt1",6
"GO:0043268","GO:0043268","positive regulation of potassium ion transport","5/218","52/28943",4.51130566911377e-05,0.00196244490065976,0.00170398222615633,"Kcnip2/Lrrc55/Kcnh2/Dpp6/Kcnc1",5
"GO:0048588","GO:0048588","developmental cell growth","10/218","273/28943",4.59349911727903e-05,0.00196244490065976,0.00170398222615633,"Syt2/Tmem108/Cpne9/Emx1/Rnf157/Rims2/Sorbs2/Fstl4/Dcx/Syt1",10
"GO:0031338","GO:0031338","regulation of vesicle fusion","4/218","27/28943",4.79599117611804e-05,0.0020117002987826,0.00174675047045983,"Syt2/Vamp1/Cplx1/Syt1",4
"GO:0048499","GO:0048499","synaptic vesicle membrane organization","4/218","28/28943",5.56239155715975e-05,0.00229150666470849,0.00198970510023966,"Syt2/Vamp1/Cplx1/Syt1",4
"GO:0060052","GO:0060052","neurofilament cytoskeleton organization","3/218","11/28943",6.65088049772039e-05,0.00256331191703943,0.00222571239847879,"Nefh/Nefm/Nefl",3
"GO:0071420","GO:0071420","cellular response to histamine","3/218","11/28943",6.65088049772039e-05,0.00256331191703943,0.00222571239847879,"Gabrb2/Gabra1/Gabrg2",3
"GO:0051937","GO:0051937","catecholamine transport","6/218","91/28943",6.6666109675928e-05,0.00256331191703943,0.00222571239847879,"Syt2/Cartpt/Crhr1/Nat8l/Syt13/Syt1",6
"GO:0060079","GO:0060079","excitatory postsynaptic potential","6/218","91/28943",6.6666109675928e-05,0.00256331191703943,0.00222571239847879,"Tmem108/Tmem25/Npas4/Reln/Rims2/Grin1",6
"GO:0007214","GO:0007214","gamma-aminobutyric acid signaling pathway","4/218","30/28943",7.35769873068191e-05,0.0027826575363415,0.00241616922941979,"Gabrb2/Gabra1/Cacnb4/Gabrg2",4
"GO:0007140","GO:0007140","male meiotic nuclear division","5/218","58/28943",7.66757193246909e-05,0.00285307878196874,0.00247731568548195,"Chtf18/Rspo1/Catsperz/Mei1/Brdt",5
"GO:0051899","GO:0051899","membrane depolarization","6/218","94/28943",7.99232524130082e-05,0.00292671338598111,0.00254125228641528,"Scn1a/Scn4b/Kcnh2/Ptpn3/Src/Fgf12",6
"GO:0098815","GO:0098815","modulation of excitatory postsynaptic potential","5/218","59/28943",8.32656338192634e-05,0.00293549772094147,0.00254887968560291,"Tmem108/Tmem25/Reln/Rims2/Grin1",5
"GO:2000649","GO:2000649","regulation of sodium ion transmembrane transporter activity","5/218","59/28943",8.32656338192634e-05,0.00293549772094147,0.00254887968560291,"Scn4b/Fxyd7/Ptpn3/Hecw1/Fgf12",5
"GO:0086010","GO:0086010","membrane depolarization during action potential","4/218","31/28943",8.39804289476103e-05,0.00293549772094147,0.00254887968560291,"Scn1a/Scn4b/Kcnh2/Ptpn3",4
"GO:0030534","GO:0030534","adult behavior","8/218","189/28943",9.86458447806403e-05,0.00339665617774533,0.00294930153366156,"Cartpt/Crhr1/Scn1a/Cacnb4/Gabrg2/Fgf12/Dab1/Grin1",8
"GO:0007409","GO:0007409","axonogenesis","13/218","493/28943",0.000102855728247421,0.00348953183921765,0.00302994505967248,"Ntn5/Nefh/Nefm/Reln/Pou3f2/Prkca/Nefl/Fstl4/Dab1/Nog/Dcx/Grin1/Tbr1",13
"GO:0019226","GO:0019226","transmission of nerve impulse","6/218","99/28943",0.000106613547556076,0.00351367791731239,0.00305091099246936,"Cartpt/Gjd2/Scn1a/Dpp6/Cacnb4/Fgf12",6
"GO:0140029","GO:0140029","exocytic process","6/218","99/28943",0.000106613547556076,0.00351367791731239,0.00305091099246936,"Syt2/Vamp1/Cadps2/Cplx1/Rims2/Syt1",6
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","6/218","102/28943",0.000125744440700279,0.00408580879852878,0.00354768970574693,"Tmem108/Tmem25/Npas4/Reln/Rims2/Grin1",6
"GO:1990138","GO:1990138","neuron projection extension","8/218","200/28943",0.000145774688631386,0.00467086398156401,0.00405569053312176,"Syt2/Tmem108/Cpne9/Emx1/Rnf157/Rims2/Dcx/Syt1",8
"GO:0016358","GO:0016358","dendrite development","10/218","315/28943",0.000149581969878108,0.00472720006176431,0.00410460690235096,"Ntn5/Mcf2/Reln/Arc/Hecw1/Fstl4/Dab1/Parp6/Dcx/Grin1",10
"GO:0034329","GO:0034329","cell junction assembly","12/218","445/28943",0.000154389912180278,0.00481320982972841,0.00417928880340071,"Cbln4/Gabrb2/Cdh12/Syndig1/Gabra1/Npas4/Reln/Prkca/Gabrg2/Src/Lgi2/Grin1",12
"GO:0050433","GO:0050433","regulation of catecholamine secretion","5/218","68/28943",0.000164114787003591,0.00504817084823045,0.00438330441639064,"Syt2/Cartpt/Crhr1/Syt13/Syt1",5
"GO:0015844","GO:0015844","monoamine transport","6/218","109/28943",0.000181032200813957,0.00549528009576051,0.00477152739818504,"Syt2/Cartpt/Crhr1/Nat8l/Syt13/Syt1",6
"GO:0099601","GO:0099601","regulation of neurotransmitter receptor activity","5/218","70/28943",0.000188239149879294,0.00556753485604528,0.00483426588691359,"Dlgap3/Reln/Arc/Rasgrf2/Src",5
"GO:1902305","GO:1902305","regulation of sodium ion transmembrane transport","5/218","70/28943",0.000188239149879294,0.00556753485604528,0.00483426588691359,"Scn4b/Fxyd7/Ptpn3/Hecw1/Fgf12",5
"GO:0021537","GO:0021537","telencephalon development","9/218","268/28943",0.000211291954564531,0.00617025998962498,0.00535760945418125,"Tmem108/Reln/Pou3f2/Dlx1/Emx1/Dab1/Dcx/Grin1/Tbr1",9
"GO:0034776","GO:0034776","response to histamine","3/218","16/28943",0.000219529356578397,0.00626379842384737,0.00543882846283921,"Gabrb2/Gabra1/Gabrg2",3
"GO:0007613","GO:0007613","memory","7/218","160/28943",0.000219925302267723,0.00626379842384737,0.00543882846283921,"Crhr1/Npas4/Reln/Arc/Egr1/Nog/Grin1",7
"GO:0048168","GO:0048168","regulation of neuronal synaptic plasticity","5/218","73/28943",0.000229383376872224,0.00642966919448687,0.00558285331923826,"Arc/Egr1/Nog/Grin1/Ncdn",5
"GO:0021799","GO:0021799","cerebral cortex radially oriented cell migration","4/218","40/28943",0.000231323165644738,0.00642966919448687,0.00558285331923826,"Reln/Pou3f2/Dab1/Dcx",4
"GO:0034764","GO:0034764","positive regulation of transmembrane transport","9/218","273/28943",0.000242231461898781,0.00663635221751742,0.00576231527385105,"Kcnip2/Reln/Lrrc55/Kcnh2/Dpp6/Arc/Cacnb4/Kcnc1/Grin1",9
"GO:0050432","GO:0050432","catecholamine secretion","5/218","74/28943",0.000244512327043338,0.00663635221751742,0.00576231527385105,"Syt2/Cartpt/Crhr1/Syt13/Syt1",5
"GO:0048638","GO:0048638","regulation of developmental growth","11/218","402/28943",0.000255925527952702,0.00686535108124284,0.00596115397422267,"Syt2/Fgf9/Cpne9/Pou3f2/Rnf157/Rims2/Npy1r/Fstl4/Nog/Dcx/Syt1",11
"GO:0048639","GO:0048639","positive regulation of developmental growth","8/218","218/28943",0.00026197454673747,0.00689551828587843,0.00598734802455987,"Syt2/Fgf9/Cpne9/Pou3f2/Rnf157/Rims2/Dcx/Syt1",8
"GO:0022604","GO:0022604","regulation of cell morphogenesis","10/218","338/28943",0.000263297716255748,0.00689551828587843,0.00598734802455987,"Syt2/Cpne9/Reln/Rnf157/Arhgap15/Rims2/Arc/Src/Parp6/Syt1",10
"GO:0051952","GO:0051952","regulation of amine transport","6/218","117/28943",0.000266016960313472,0.00689551828587843,0.00598734802455987,"Syt2/Cartpt/Crhr1/Nat8l/Syt13/Syt1",6
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","9/218","278/28943",0.000276841521655082,0.00709637100509193,0.00616174755215931,"Syt2/Tmem108/Cpne9/Emx1/Rnf157/Rims2/Fstl4/Dcx/Syt1",9
"GO:0030900","GO:0030900","forebrain development","11/218","407/28943",0.000284288948886357,0.00720719346242665,0.00625797420162796,"Tmem108/Reln/Pou3f2/Dlx1/Emx1/Src/Dab1/Nog/Dcx/Grin1/Tbr1",11
"GO:0045666","GO:0045666","positive regulation of neuron differentiation","6/218","119/28943",0.000291499905386708,0.00730967697529495,0.00634696018250464,"Vwc2/Brinp3/Dlx1/Bend6/Rgs6/Dab1",6
"GO:0021766","GO:0021766","hippocampus development","5/218","79/28943",0.00033184258130826,0.00817939772829989,0.00710213486503534,"Tmem108/Reln/Dlx1/Dab1/Dcx",5
"GO:0015837","GO:0015837","amine transport","6/218","122/28943",0.000333274116367659,0.00817939772829989,0.00710213486503534,"Syt2/Cartpt/Crhr1/Nat8l/Syt13/Syt1",6
"GO:0050770","GO:0050770","regulation of axonogenesis","7/218","181/28943",0.000463853317928957,0.0112643116259169,0.00978075195588704,"Nefm/Pou3f2/Nefl/Fstl4/Dab1/Dcx/Grin1",7
"GO:0003012","GO:0003012","muscle system process","11/218","432/28943",0.000469132718869394,0.0112738456503301,0.00978903030711028,"Tcap/Mlip/Scn1a/Chrm2/Scn4b/Kcnh2/Nr4a1/Sorbs2/Prkca/Tnnt1/Npy1r",11
"GO:2001259","GO:2001259","positive regulation of cation channel activity","5/218","92/28943",0.00066909671807275,0.0159134652432354,0.0138175914757726,"Reln/Lrrc55/Arc/Cacnb4/Kcnc1",5
"GO:0051259","GO:0051259","protein complex oligomerization","8/218","253/28943",0.000702212160095689,0.0165306474830689,0.0143534880844479,"Kcns1/Kcnc3/Prmt8/Kcna4/Arc/Kcnc1/Grin1/Syt1",8
"GO:0006936","GO:0006936","muscle contraction","9/218","317/28943",0.00071356810928024,0.0166282992738335,0.0144382787023955,"Tcap/Scn1a/Chrm2/Scn4b/Kcnh2/Nr4a1/Prkca/Tnnt1/Npy1r",9
"GO:0021795","GO:0021795","cerebral cortex cell migration","4/218","54/28943",0.000737266859779387,0.0170087464551105,0.0147686193069492,"Reln/Pou3f2/Dab1/Dcx",4
"GO:0007611","GO:0007611","learning or memory","9/218","321/28943",0.000779669472271259,0.017704357879605,0.0153726156297257,"Crhr1/Npas4/Reln/Arc/Prkca/Egr1/Nog/Grin1/Tbr1",9
"GO:0019228","GO:0019228","neuronal action potential","4/218","55/28943",0.00079044163918479,0.017704357879605,0.0153726156297257,"Gjd2/Scn1a/Dpp6/Fgf12",4
"GO:1902476","GO:1902476","chloride transmembrane transport","4/218","55/28943",0.00079044163918479,0.017704357879605,0.0153726156297257,"Gabrb2/Gabra1/Gabrd/Gabrg2",4
"GO:0010469","GO:0010469","regulation of signaling receptor activity","6/218","147/28943",0.000892242994924117,0.0197923518200956,0.0171856115317874,"Dlgap3/Reln/Arc/Rasgrf2/Src/Nog",6
"GO:0016082","GO:0016082","synaptic vesicle priming","3/218","26/28943",0.000964186616389694,0.0211845573715336,0.0183944574535297,"Vamp1/Cadps2/Rims2",3
"GO:0002028","GO:0002028","regulation of sodium ion transport","5/218","100/28943",0.000975840195985,0.0212383333220509,0.0184411508734802,"Scn4b/Fxyd7/Ptpn3/Hecw1/Fgf12",5
"GO:0050806","GO:0050806","positive regulation of synaptic transmission","9/218","335/28943",0.00105146171672916,0.022670300752282,0.0196845218586875,"Crhr1/Rims3/Reln/Rims2/Arc/Rasgrf2/Nog/Grin1/Syt1",9
"GO:0035725","GO:0035725","sodium ion transmembrane transport","6/218","153/28943",0.00109740029810143,0.0232291589968694,0.0201697760002931,"Scn1a/Scn4b/Fxyd7/Ptpn3/Hecw1/Fgf12",6
"GO:0015872","GO:0015872","dopamine transport","4/218","60/28943",0.0010975198659119,0.0232291589968694,0.0201697760002931,"Syt2/Nat8l/Syt13/Syt1",4
"GO:0021801","GO:0021801","cerebral cortex radial glia-guided migration","3/218","28/28943",0.00120148587913586,0.0249714227312291,0.0216825758937462,"Reln/Dab1/Dcx",3
"GO:0022030","GO:0022030","telencephalon glial cell migration","3/218","28/28943",0.00120148587913586,0.0249714227312291,0.0216825758937462,"Reln/Dab1/Dcx",3
"GO:0045921","GO:0045921","positive regulation of exocytosis","5/218","106/28943",0.00126665125345649,0.0260907539439654,0.0226544862342829,"Crhr1/Exph5/Cadps2/Prkca/Syt1",5
"GO:0051932","GO:0051932","synaptic transmission, GABAergic","4/218","65/28943",0.0014798558678164,0.0302126326287825,0.026233495262735,"Gabrb2/Gabra1/Npas4/Gabrg2",4
"GO:0008344","GO:0008344","adult locomotory behavior","5/218","111/28943",0.00155417815317888,0.0314516578893304,0.0273093354155069,"Scn1a/Cacnb4/Fgf12/Dab1/Grin1",5
"GO:0050890","GO:0050890","cognition","9/218","358/28943",0.00166079582027415,0.0331079774903398,0.0287475103981551,"Crhr1/Npas4/Reln/Arc/Prkca/Egr1/Nog/Grin1/Tbr1",9
"GO:0120254","GO:0120254","olefinic compound metabolic process","6/218","166/28943",0.00166472708664041,0.0331079774903398,0.0287475103981551,"Akr1c18/Cyp11a1/Dkkl1/Egr1/Cyp4f15/Grin1",6
"GO:0042063","GO:0042063","gliogenesis","9/218","363/28943",0.00182483993531848,0.0359821002630746,0.0312430984877289,"Dusp15/Reln/Pou3f2/Dlx1/Emx1/Dab1/Nog/Dcx/Grin1",9
"GO:0022029","GO:0022029","telencephalon cell migration","4/218","69/28943",0.00184591561477217,0.0360892146040627,0.031336105396177,"Reln/Pou3f2/Dab1/Dcx",4
"GO:0008347","GO:0008347","glial cell migration","4/218","70/28943",0.00194638085506871,0.037358173464713,0.0324379367615034,"Reln/Dab1/Dcx/Grin1",4
"GO:0034766","GO:0034766","negative regulation of ion transmembrane transport","5/218","117/28943",0.00195940138241451,0.037358173464713,0.0324379367615034,"Cabp1/Kcnh2/Prkca/Hecw1/Fgf12",5
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","5/218","117/28943",0.00195940138241451,0.037358173464713,0.0324379367615034,"Slc17a6/Reln/Cacnb4/Grin1/Syt1",5
"GO:0006941","GO:0006941","striated muscle contraction","6/218","173/28943",0.00205025666187843,0.0387700173684717,0.0336638345776933,"Tcap/Scn1a/Scn4b/Kcnh2/Nr4a1/Tnnt1",6
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","8/218","300/28943",0.00207169771749439,0.0388569645061753,0.0337393303927414,"Rspo1/Fgf9/Dkkl1/Wnt10a/Egr1/Src/Frzb/Nog",8
"GO:0006906","GO:0006906","vesicle fusion","5/218","119/28943",0.00211019186630445,0.0392597793190675,0.0340890927128809,"Syt2/Vamp1/Cplx1/Syt13/Syt1",5
