"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","78/1211","421/28943",7.01500441537124e-29,3.57191270277221e-26,1.96084477486119e-26,"Cxcl10/Isg15/Cd300lf/Cxcr4/Irf7/Ccl12/Cxcl1/Pf4/Ifitm1/Fcer1g/Ifitm2/Csf2rb/Ccl6/Ifitm3/Ccl9/Il2rg/Ccl4/Oasl2/Iigp1/Osmr/Ptprc/Il1b/Il1r2/Ecm1/Ripk1/Ccl3/Parp14/Laptm5/Tnfrsf1a/Pycard/Trem2/Il21r/Dok1/Sting1/Cd24a/Ptpn6/Cebpa/Parp9/Naip2/Irgm1/Spi1/Il4ra/Irak4/Syk/Foxc1/Stat1/Myd88/Irf1/Il15/Il13ra1/Igtp/Nmi/Cxcl5/Adam17/Il10rb/Ifngr1/Csf3r/Stat5a/Trim56/Csf1/Ifnar2/Ifi27/Edn1/Cav1/F3/Lims1/Pdgfb/Cx3cr1/Axl/Stat3/Nfkbia/Il33/Angpt1/Stat2/Il6st/Samhd1/Sh2b2/Socs1",78
"GO:0090130","GO:0090130","tissue migration","69/1211","332/28943",8.53420511577676e-29,3.97153659090563e-26,2.18022315226329e-26,"Serpine1/Cxcr4/Dcn/Anxa1/Loxl2/Hmox1/Cyp1b1/Mmp9/Glipr2/Adam8/Itgb2/Lpxn/Clec14a/Cdh5/Lrg1/Ctsh/Sp100/Angpt2/Cd40/Snai1/Grn/Pecam1/Cd63/Serpinf1/Lgmn/Rhoj/Atoh8/Adgra2/Anxa3/Tgfbr2/Robo4/Myh9/Ets1/Fstl1/Pfn1/Nfe2l2/Mmrn2/Acvrl1/Itgb1/Sparc/Prcp/Adam17/Pkn3/Stat5a/Pxn/Hspb1/Nrp1/Gadd45a/Kdr/Nos3/Pdgfb/Hbegf/Emp2/Tns3/Stard13/Scarb1/Amotl1/Angpt1/P2rx4/Ptgs2/Rab13/Dock1/Jun/Klf4/Nr2f2/Igf1/Smoc2/Vstm4/Tgfbr1",69
"GO:0002683","GO:0002683","negative regulation of immune system process","82/1211","465/28943",9.21799244452297e-29,3.97153659090563e-26,2.18022315226329e-26,"Lgals3/H2-Aa/Isg15/Cd300lf/Gpnmb/Fgl2/Ccl12/Bst2/Cd84/Anxa1/Cd44/Lgals9/Fcer1g/Hmox1/Cd68/Lpxn/Tap1/Havcr2/Gimap5/Ptprc/Cst7/Tyrobp/Parp14/Milr1/Laptm5/Dhx58/Nckap1l/C1qc/Cnn2/Trem2/Grn/Cd274/Cd24a/Fcgr2b/Ptpn6/Cebpa/Samsn1/Lyn/Cd200/Parp3/Spi1/Fas/Il4ra/Tnfrsf13b/Apod/Lst1/Inpp5d/Gpr17/Tap2/Elf1/Cd37/Mdk/Cd86/Irf1/Cdk6/Cebpb/Serping1/Nmi/Tmem176b/Tnfaip8l2/Tmem176a/Stat5a/Vsir/Runx1/Hspb1/Adgrf5/Cdkn2a/Mafb/Hlx/Cx3cr1/Axl/Cr1l/Il33/Angpt1/Stat2/Samhd1/Igf1/Sdc4/Rps19/Rara/Foxj1/Socs1",82
"GO:0097529","GO:0097529","myeloid leukocyte migration","59/1211","243/28943",1.39189465315745e-28,5.56857282309633e-26,3.05693555028038e-26,"Spp1/Lgals3/Serpine1/Cxcl10/Ccl12/Cxcl1/Pf4/C5ar1/Anxa1/Rac2/Fcer1g/C3ar1/Ccl6/Ccl9/Ccl4/Adam8/Itgb2/Lbp/Mmp14/Enpp1/Il1b/Ccl3/Itgam/Fcgr3/Aif1/B4galt1/Nckap1l/Cnn2/Trem2/Myo1f/Pecam1/Vav1/Cd9/Lyn/Lgmn/Cd200/Pgf/Spi1/Irak4/Cmklr1/Syk/Mdk/Myd88/Dysf/Cxcl5/Tirap/Cklf/Csf3r/Ninj1/Ano6/Csf1/Edn1/Swap70/Pdgfb/Cx3cr1/Rhog/P2rx4/Rps19/Arhgef5",59
"GO:0070661","GO:0070661","leukocyte proliferation","73/1211","384/28943",7.98429538586901e-28,2.98133589708349e-25,1.6366404787455e-25,"Cfb/Lgals3/H2-Aa/Gpnmb/Cxcr4/Ccl12/Cd180/Hells/Anxa1/Cd44/Lgals9/Rac2/Csf2rb/Dock2/Itgb2/Slc11a1/Msn/Mzb1/Cd38/Havcr2/Ptprc/Il1b/Tnfrsf1b/Tyrobp/Itgam/Cd244a/Laptm5/Aif1/Cd40/Rasal3/Nckap1l/Cnn2/Pycard/Trem2/Cd274/Cd24a/Fcgr2b/Ptpn6/H2-DMb1/Lyn/Prkcd/Ighm/Tnfrsf13b/Tgfbr2/Lst1/Syk/Inpp5d/Cd37/Cd86/Tcirg1/Igfbp2/Myd88/Irf1/Cdkn1a/Il15/Cebpb/Tirap/Cd151/Ccnd3/Stat5a/Vsir/Csf1/Ifnar2/Cdkn2a/Bax/Vcam1/Il33/St6gal1/Il6st/Igf1/Sdc4/Foxj1/Efnb1",73
"GO:0043542","GO:0043542","endothelial cell migration","56/1211","234/28943",7.53336309964075e-27,2.63714792006799e-24,1.44769431671386e-24,"Cxcr4/Dcn/Anxa1/Loxl2/Hmox1/Cyp1b1/Adam8/Itgb2/Lpxn/Clec14a/Cdh5/Sp100/Angpt2/Cd40/Grn/Pecam1/Serpinf1/Lgmn/Rhoj/Atoh8/Adgra2/Anxa3/Robo4/Myh9/Ets1/Fstl1/Nfe2l2/Mmrn2/Acvrl1/Itgb1/Sparc/Prcp/Adam17/Stat5a/Pxn/Hspb1/Nrp1/Gadd45a/Kdr/Nos3/Pdgfb/Emp2/Tns3/Stard13/Scarb1/Amotl1/Angpt1/P2rx4/Ptgs2/Rab13/Klf4/Nr2f2/Igf1/Smoc2/Vstm4/Tgfbr1",56
"GO:0002274","GO:0002274","myeloid leukocyte activation","60/1211","272/28943",1.20982826304218e-26,3.80028492056672e-24,2.08621247201635e-24,"Cd300lf/Tmem106a/Cd84/C5ar1/Anxa1/Cd48/Lgals9/Rac2/Fcer1g/Ctsc/Hmox1/Fes/Dock2/Fn1/Itgb2/Lbp/Slc11a1/Lat2/Havcr2/Gimap5/Ptafr/Cst7/Tyrobp/Itgam/Milr1/Cd244a/Fcgr3/Aif1/C1qa/Ifi35/Pla2g4a/Pycard/Trem2/Grn/Myo1f/Ptpn6/Cebpa/Lcp2/Lyn/Prkcd/Ltbr/Cd200/Spi1/Il4ra/Anxa3/Tgfbr2/Syk/Cd37/Nectin2/Myd88/Dysf/Il15/Nmi/Snap23/Cd33/Ifngr1/Adgrf5/Cx3cr1/Il33/Jun",60
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","74/1211","411/28943",1.22130206338513e-26,3.80028492056672e-24,2.08621247201635e-24,"Lgals3/H2-Aa/Gpnmb/Fgl2/Anxa1/Lgals1/Cd44/Lgals9/Rac2/Il2rg/H2-Eb1/Adam8/Itgb2/Msn/Havcr2/Gimap5/Fermt3/Ptprc/Il1b/Ptafr/Lrg1/Itgam/Cd244a/Laptm5/Aif1/Rasal3/Cfh/Icam1/Nckap1l/Pycard/Gcnt1/Pecam1/Cd274/Cd24a/Ptpn6/H2-DMb1/F11r/Il4ra/Tgfbr2/B2m/Syk/Cd37/Ets1/Mdk/Cd86/Igfbp2/Irf1/Il15/Cebpb/Itgb1/Tnfaip8l2/Stat5a/Vsir/Runx1/Hspb1/Sox4/Cdkn2a/Jam2/Cav1/Hlx/Cx3cr1/Vcam1/Selplg/Bmp7/Nfkbiz/Il6st/Klf4/Igf1/Sdc4/Rara/Foxj1/Socs1/Efnb1/H2-DMa",74
"GO:0031349","GO:0031349","positive regulation of defense response","63/1211","305/28943",3.09711322489602e-26,9.12996377507507e-24,5.01200428250487e-24,"Serpine1/Irf7/Cxcl1/Lgals1/Lgals9/Hmgb2/Trim30a/Fcgr1/Fcer1g/Ctsc/Clec7a/Adam8/Lbp/Havcr2/Gimap5/Il1b/Ripk1/Trim30d/Ccl3/Tyrobp/Fcgr3/Trim12c/Ctss/Alox5ap/Ifi35/Pla2g4a/Tnfrsf1a/Mndal/Pycard/Trem2/Grn/Sting1/Ifi203/Vav1/Cd24a/Cebpa/Ccr5/Parp9/Irgm1/Spi1/Cgas/Syk/Ets1/Mdk/H2-M3/Nectin2/Cebpb/Nupr1/Mmrn2/Igtp/Nmi/Tirap/Stat5a/Ccn4/Ninj1/Trim56/Casp6/Nfkbia/Il33/Nfkbiz/Ptgs2/Tradd/Rps19",63
"GO:0032943","GO:0032943","mononuclear cell proliferation","67/1211","351/28943",9.79519251850541e-26,2.74314366480744e-23,1.50588196560812e-23,"Cfb/Lgals3/H2-Aa/Gpnmb/Cxcr4/Cd180/Hells/Anxa1/Cd44/Lgals9/Rac2/Dock2/Itgb2/Slc11a1/Msn/Mzb1/Cd38/Havcr2/Ptprc/Il1b/Tnfrsf1b/Tyrobp/Itgam/Cd244a/Laptm5/Aif1/Cd40/Rasal3/Nckap1l/Pycard/Cd274/Cd24a/Fcgr2b/Ptpn6/H2-DMb1/Lyn/Prkcd/Ighm/Tnfrsf13b/Tgfbr2/Lst1/Syk/Inpp5d/Cd37/Cd86/Igfbp2/Myd88/Irf1/Cdkn1a/Il15/Cebpb/Tirap/Cd151/Ccnd3/Stat5a/Vsir/Csf1/Ifnar2/Cdkn2a/Bax/Vcam1/St6gal1/Il6st/Igf1/Sdc4/Foxj1/Efnb1",67
"GO:0030198","GO:0030198","extracellular matrix organization","64/1211","322/28943",1.18803126632898e-25,3.16864910605173e-23,1.73946833531176e-23,"Lgals3/Tgfbi/Col1a1/Col1a2/Lox/Loxl2/Nid1/Lum/Col5a2/Cyp1b1/Mmp9/Serpinh1/Lcp1/Fn1/Loxl1/Anxa2/Ccn1/Crtap/Mmp14/Tnfrsf1b/B4galt1/Col5a3/Ctss/Gfap/Tnfrsf1a/Col4a1/Adamts1/Creb3l1/Fbln1/Spint1/Ccn2/Phldb2/Cflar/Sulf1/Foxc1/Eln/Ets1/Efemp2/Fkbp10/Sh3pxd2b/Aebp1/Itgb1/Bcl3/Pdgfra/P3h1/Vwa1/Lamc1/Rb1/Pbxip1/Col15a1/Col16a1/Col4a2/Cav1/Lamb1/Smoc1/Prdm5/Olfml2b/Ccdc80/Ramp2/Gfod2/Col27a1/Smoc2/Col8a1/Tgfbr1",64
"GO:0043062","GO:0043062","extracellular structure organization","64/1211","323/28943",1.42331968467871e-25,3.62364252449338e-23,1.98924248753421e-23,"Lgals3/Tgfbi/Col1a1/Col1a2/Lox/Loxl2/Nid1/Lum/Col5a2/Cyp1b1/Mmp9/Serpinh1/Lcp1/Fn1/Loxl1/Anxa2/Ccn1/Crtap/Mmp14/Tnfrsf1b/B4galt1/Col5a3/Ctss/Gfap/Tnfrsf1a/Col4a1/Adamts1/Creb3l1/Fbln1/Spint1/Ccn2/Phldb2/Cflar/Sulf1/Foxc1/Eln/Ets1/Efemp2/Fkbp10/Sh3pxd2b/Aebp1/Itgb1/Bcl3/Pdgfra/P3h1/Vwa1/Lamc1/Rb1/Pbxip1/Col15a1/Col16a1/Col4a2/Cav1/Lamb1/Smoc1/Prdm5/Olfml2b/Ccdc80/Ramp2/Gfod2/Col27a1/Smoc2/Col8a1/Tgfbr1",64
"GO:0045229","GO:0045229","external encapsulating structure organization","64/1211","324/28943",1.70390580327451e-25,4.1493810452785e-23,2.27785302121961e-23,"Lgals3/Tgfbi/Col1a1/Col1a2/Lox/Loxl2/Nid1/Lum/Col5a2/Cyp1b1/Mmp9/Serpinh1/Lcp1/Fn1/Loxl1/Anxa2/Ccn1/Crtap/Mmp14/Tnfrsf1b/B4galt1/Col5a3/Ctss/Gfap/Tnfrsf1a/Col4a1/Adamts1/Creb3l1/Fbln1/Spint1/Ccn2/Phldb2/Cflar/Sulf1/Foxc1/Eln/Ets1/Efemp2/Fkbp10/Sh3pxd2b/Aebp1/Itgb1/Bcl3/Pdgfra/P3h1/Vwa1/Lamc1/Rb1/Pbxip1/Col15a1/Col16a1/Col4a2/Cav1/Lamb1/Smoc1/Prdm5/Olfml2b/Ccdc80/Ramp2/Gfod2/Col27a1/Smoc2/Col8a1/Tgfbr1",64
"GO:0050866","GO:0050866","negative regulation of cell activation","53/1211","225/28943",3.99041058099896e-25,9.31262069340631e-23,5.11227601188507e-23,"Lgals3/H2-Aa/Cd300lf/Gpnmb/Fgl2/Cd84/Anxa1/Cd44/Lgals9/Hmox1/Havcr2/Gimap5/Cst7/Tyrobp/Milr1/Laptm5/Nckap1l/Trem2/Grn/Cd274/Cd9/Cd24a/Fcgr2b/Ptpn6/Samsn1/Lyn/Prkcd/Cd200/Parp3/Spi1/Fas/Il4ra/Tnfrsf13b/Lst1/Inpp5d/Cd37/Mdk/Cd86/Irf1/Cebpb/Tnfaip8l2/Pdgfra/Vsir/Runx1/Hspb1/Adgrf5/Cdkn2a/Hlx/Pdgfb/Axl/Sdc4/Foxj1/Socs1",53
"GO:1903706","GO:1903706","regulation of hemopoiesis","74/1211","435/28943",4.70290514431023e-25,1.02511402640231e-22,5.6274877063704e-23,"H2-Aa/Isg15/Fgl2/Lox/Anxa1/Rab7b/Cd44/Lgals9/Hmgb2/Fes/Il2rg/Adam8/Ctla2a/Gimap5/Mmp14/Ptprc/Ripk1/Ccl3/Tyrobp/Itgam/Zfp36/Ikzf1/Hcls1/Nckap1l/C1qc/Trem2/Cd24a/Ptpn6/Cebpa/Lyn/Tcim/Spi1/Fas/Il4ra/Rbp1/Tgfbr2/B2m/Syk/Inpp5d/Ets1/Mdk/Stat1/Irf1/Il15/Cdk6/Cebpb/Tmem176b/Zfp36l1/Tmem176a/Cyp26b1/Csf3r/Stat5a/Vsir/Rb1/Jag1/Runx1/Hspb1/Ninj1/Csf1/Sox4/Prdm1/Cdkn2a/Mafb/Hlx/Axl/Stat3/Nfkbia/Lmo2/Nfkbiz/Jun/Rara/Foxj1/Socs1/H2-DMa",74
"GO:0031589","GO:0031589","cell-substrate adhesion","68/1211","371/28943",4.92602005492643e-25,1.02511402640231e-22,5.6274877063704e-23,"Spp1/Serpine1/Col1a1/Lgals1/Nid1/Rac2/Fn1/Adam8/Itgb2/Lpxn/Dab2/Ccn1/Fermt3/Mmp14/Plau/Vwf/Itgam/Angpt2/Col5a3/Pecam1/Cd63/Fbln1/Ccn2/Parvg/Flna/Apod/Phldb2/Efemp2/Acer2/Mdk/Thsd1/Cdk6/Acvrl1/Itgb1/Itgb5/Bcl2l11/Lamc1/Jag1/Pxn/Ninj1/Csf1/P4hb/Col16a1/Cdkn2a/Itga6/Nrp1/Kdr/Triobp/Lims1/Lamb1/Smoc1/Pdgfb/Axl/Vcam1/Ccdc80/Rsu1/Iqgap1/Emp2/Akip1/St6gal1/Angpt1/Dock1/Smoc2/Sdc4/Parvb/Col8a1/Nedd9/Gcnt2",68
"GO:0002699","GO:0002699","positive regulation of immune effector process","63/1211","320/28943",4.94163162165015e-25,1.02511402640231e-22,5.6274877063704e-23,"Cfb/Cxcl1/Cd84/Anxa1/Rac2/Fcgr1/Fcer1g/Hmox1/Fes/H2-T23/Itgb2/Lbp/Rsad2/Mzb1/H2-Q4/Gimap5/Ptprc/Il1b/Ptafr/H2-K1/Tyrobp/Itgam/H2-Q7/H2-Q9/Cd244a/Laptm5/Fcgr3/Dhx58/Cd40/Pycard/Trem2/Vav1/Cd24a/Ptpn6/H2-DMb1/Lyn/Rigi/C4b/Spi1/H2-D1/Il4ra/Tnfsf13/B2m/Syk/Tap2/Cd37/Cd86/H2-M3/Nectin2/Myd88/Irf1/Tirap/Stat5a/Lacc1/Hlx/Il33/Cfp/Nfkbiz/H2-T22/Mapkapk2/Rps19/Rara/Ddx21",63
"GO:0046651","GO:0046651","lymphocyte proliferation","65/1211","344/28943",9.58164956452739e-25,1.91667211467564e-22,1.05218039014979e-22,"Cfb/Lgals3/H2-Aa/Gpnmb/Cxcr4/Cd180/Hells/Anxa1/Cd44/Lgals9/Rac2/Dock2/Itgb2/Slc11a1/Msn/Mzb1/Cd38/Havcr2/Ptprc/Il1b/Tnfrsf1b/Tyrobp/Itgam/Cd244a/Laptm5/Aif1/Cd40/Rasal3/Nckap1l/Pycard/Cd274/Cd24a/Fcgr2b/Ptpn6/H2-DMb1/Lyn/Prkcd/Ighm/Tnfrsf13b/Tgfbr2/Lst1/Syk/Inpp5d/Cd37/Cd86/Igfbp2/Myd88/Irf1/Cdkn1a/Il15/Cebpb/Tirap/Cd151/Ccnd3/Stat5a/Vsir/Ifnar2/Cdkn2a/Bax/Vcam1/Il6st/Igf1/Sdc4/Foxj1/Efnb1",65
